"","mpg","cylinder","displacement","horsepower","weight","acceleration","modelYear","origin","carName","NA","NA","NA","NA","NA","NA"
"1",1,15,8,350,165,3693,11.5,70,1,"buick-skylark-320","Hi","Hi","c8","cn6","Lo"
"2",2,18,8,318,150,3436,11,70,1,"plymouth-satellite","Hi","Hi","c8","cn6","Lo"
"3",3,16,8,304,150,3433,12,70,1,"amc-rebel-sst","Hi","Hi","c8","cn6","Lo"
"4",4,17,8,302,140,3449,10.5,70,1,"ford-torino","Hi","Hi","c8","cn6","Lo"
"5",5,15,8,429,198,4341,10,70,1,"ford-galaxie-500","Hi","Hi","c8","cn6","Lo"
"6",6,14,8,454,220,4354,9,70,1,"chevrolet-impala","Hi","Hi","c8","cn6","Lo"
"7",7,14,8,440,215,4312,8.5,70,1,"plymouth-fury-iii","Hi","Hi","c8","cn6","Lo"
"8",8,14,8,455,225,4425,10,70,1,"pontiac-catalina","Hi","Hi","c8","cn6","Lo"
"9",9,15,8,390,190,3850,8.5,70,1,"amc-ambassador-dpl","Hi","Hi","c8","cn6","Lo"
"10",10,15,8,383,170,3563,10,70,1,"dodge-challenger-se","Hi","Hi","c8","cn6","Lo"
"11",11,14,8,340,160,3609,8,70,1,"plymouth 'cuda-340","Hi","Hi","c8","cn6","Lo"
"12",12,15,8,400,150,3761,9.5,70,1,"chevrolet-monte-carlo","Hi","Hi","c8","cn6","Lo"
"13",13,14,8,455,225,3086,10,70,1,"buick-estate-wagon (sw)","Hi","Hi","c8","cn6","Lo"
"14",14,24,4,113,95,2372,15,70,3,"toyota-corona-mark-ii","Lo","Lo","c345","cn6","Lo"
"15",15,22,6,198,95,2833,15.5,70,1,"plymouth-duster","Lo","Lo","c6","c6","Lo"
"16",16,18,6,199,97,2774,15.5,70,1,"amc-hornet","Lo","Lo","c6","c6","Lo"
"17",17,21,6,200,85,2587,16,70,1,"ford-maverick","Lo","Lo","c6","c6","Hi"
"18",18,27,4,97,88,2130,14.5,70,3,"datsun-pl510","Lo","Lo","c345","cn6","Lo"
"19",19,26,4,97,46,1835,20.5,70,2,"volkswagen-1131 deluxe-sedan","Lo","Lo","c345","cn6","Hi"
"20",20,25,4,110,87,2672,17.5,70,2,"peugeot-504","Lo","Lo","c345","cn6","Hi"
"21",21,24,4,107,90,2430,14.5,70,2,"audi-100 ls","Lo","Lo","c345","cn6","Lo"
"22",22,25,4,104,95,2375,17.5,70,2,"saab-99e","Lo","Lo","c345","cn6","Hi"
"23",23,26,4,121,113,2234,12.5,70,2,"bmw-2002","Hi","Lo","c345","cn6","Lo"
"24",24,21,6,199,90,2648,15,70,1,"amc-gremlin","Lo","Lo","c6","c6","Lo"
"25",25,10,8,360,215,4615,14,70,1,"ford-f250","Hi","Hi","c8","cn6","Lo"
"26",26,10,8,307,200,4376,15,70,1,"chevy-c20","Hi","Hi","c8","cn6","Lo"
"27",27,11,8,318,210,4382,13.5,70,1,"dodge-d200","Hi","Hi","c8","cn6","Lo"
"28",28,9,8,304,193,4732,18.5,70,1,"hi-1200d","Hi","Hi","c8","cn6","Hi"
"29",29,27,4,97,88,2130,14.5,71,3,"datsun-pl510","Lo","Lo","c345","cn6","Lo"
"30",30,28,4,140,90,2264,15.5,71,1,"chevrolet-vega-2300","Lo","Lo","c345","cn6","Lo"
"31",31,25,4,113,95,2228,14,71,3,"toyota-corona","Lo","Lo","c345","cn6","Lo"
"32",34,19,6,232,100,2634,13,71,1,"amc-gremlin","Hi","Lo","c6","c6","Lo"
"33",35,16,6,225,105,3439,15.5,71,1,"plymouth-satellite-custom","Hi","Lo","c6","c6","Lo"
"34",36,17,6,250,100,3329,15.5,71,1,"chevrolet-chevelle-malibu","Hi","Hi","c6","c6","Lo"
"35",37,19,6,250,88,3302,15.5,71,1,"ford-torino-500","Lo","Hi","c6","c6","Lo"
"36",38,18,6,232,100,3288,15.5,71,1,"amc-matador","Hi","Lo","c6","c6","Lo"
"37",39,14,8,350,165,4209,12,71,1,"chevrolet-impala","Hi","Hi","c8","cn6","Lo"
"38",40,14,8,400,175,4464,11.5,71,1,"pontiac-catalina-brougham","Hi","Hi","c8","cn6","Lo"
"39",41,14,8,351,153,4154,13.5,71,1,"ford-galaxie-500","Hi","Hi","c8","cn6","Lo"
"40",42,14,8,318,150,4096,13,71,1,"plymouth-fury-iii","Hi","Hi","c8","cn6","Lo"
"41",43,12,8,383,180,4955,11.5,71,1,"dodge-monaco (sw)","Hi","Hi","c8","cn6","Lo"
