,name,rating,reviews,cinfo
0,TCS,3.8,67k,IT Services & Consulting | 1 Lakh+ Employees | Public | 55 years old | Mumbai +302 more
1,Accenture,4.1,42.7k,IT Services & Consulting | 1 Lakh+ Employees | Public | 34 years old | Dublin +151 more
2,Cognizant,3.9,38.5k,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 29 years old | Teaneck. New Jersey. +124 more
3,Wipro,3.8,35.6k,IT Services & Consulting | 1 Lakh+ Employees | Public | 78 years old | Bangalore/Bengaluru +253 more
4,ICICI Bank,4,31k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1220 more
5,HDFC Bank,3.9,30.7k,Banking | 1 Lakh+ Employees | Public | 29 years old | Mumbai +1455 more
6,Infosys,3.9,29.2k,IT Services & Consulting | 1 Lakh+ Employees | Public | 42 years old | Bengaluru/Bangalore +152 more
7,Capgemini,3.8,27.1k,IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Paris +100 more
8,Tech Mahindra,3.7,25.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 37 years old | Pune +241 more
9,HCLTech,3.7,24.9k,IT Services & Consulting | 1 Lakh+ Employees | Public | 32 years old | Noida +161 more
10,Genpact,3.9,24.4k,IT Services & Consulting | 1 Lakh+ Employees | Public | 26 years old | New York +88 more
11,Axis Bank,3.8,20.4k,Banking | 50k-1 Lakh Employees | Public | 30 years old | Mumbai +1246 more
12,Concentrix Corporation,3.9,20.1k,BPO | 50k-1 Lakh Employees | Public | 40 years old | Fremont +98 more
13,Amazon,4.1,19.3k,Internet | 1 Lakh+ Employees | Public | 29 years old | Seattle +410 more
14,Reliance Jio,3.9,18.6k,Telecom | 50k-1 Lakh Employees | Public | 16 years old | Navi Mumbai +1112 more
15,IBM,4.1,18.6k,Software Product | 50k-1 Lakh Employees | Public | 112 years old | Armonk +137 more
16,Larsen & Toubro Limited,4,17.4k,Engineering & Construction | 10k-50k Employees | Public | 85 years old | Mumbai +599 more
17,Reliance Retail,3.9,16.8k,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +930 more
18,HDB Financial Services,4,16.4k,NBFC | 1 Lakh+ Employees | 16 years old | Ahmedabad +908 more
19,Teleperformance,3.6,15.9k,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 45 years old | Paris +139 more
20,Vodafone Idea,4.2,14.6k,5k-10k Employees | Public | 5 years old | Mumbai +612 more
21,BYJU'S,3.1,13.5k,EdTech | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +296 more
22,Deloitte,4,13.4k,Accounting & Auditing | 1 Lakh+ Employees | 178 years old | London +150 more
23,Kotak Mahindra Bank,3.8,13k,Banking | 50k-1 Lakh Employees | Public | 20 years old | Mumbai +534 more
24,Reliance Industries,4,12.3k,Oil & Gas | Public | 46 years old | Navi Mumbai +610 more
25,Bharti Airtel,4,11.3k,Telecom | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +612 more
26,Tata Motors,4.2,10.4k,Automobile | 10k-50k Employees | Public | 78 years old | Pune +431 more
27,Flipkart,4.1,9.1k,Internet | 10k-50k Employees | Public | 16 years old | Bangalore +509 more
28,WNS,3.5,8.9k,BPO | 10k-50k Employees | 27 years old | Mumbai +30 more
29,iEnergizer,4.5,8.9k,BPO | 10k-50k Employees | 23 years old | Noida +23 more
