CPI,PLR
202.0,16
204.0,17
209.0,17
214.0,17
217.0,18.5
221.0,18.5
223.0,18.5
225.0,20
225.0,20
228.0,20
229.0,20
229.0,20
231.0,19
234.0,19
236.0,19
242.0,19
242.0,19
243.0,19
244.0,19
244.0,18
243.0,18
241.0,18
242.0,18
243.0,18
245.0,17
246.0,17
250.0,17
253.0,16
256.0,16
259.0,16
262.0,15
265.0,15
264.0,15
263.0,15
265.0,15
267.0,15
269.0,15
272.0,15
277.0,15
281.0,15
284.0,15
288.0,15
289.0,15
291.0,14
289.0,14
289.0,14
291.0,14
293.0,15
295.0,15
300.0,15.5
306.0,15.5
313.0,15.5
315.0,15.5
317.0,15.5
319.0,15.5
321.0,15.5
317.0,16.5
315.0,16.5
316.0,16.5
319.0,16.5
324.0,16.5
328.0,16.5
333.0,16.5
339.0,16.5
343.0,16.5
344.0,16
346.0,15.5
349.0,15.5
350.0,14.5
350.0,14.5
350.0,14.5
351.0,14.5
354.0,14.5
352.0,14
355.0,14
358.0,13.5
359.0,13.5
361.0,13.5
365.0,13.5
366.0,13.5
372.0,13.5
384.0,13.5
382.0,12.5
380.0,14
383.0,14
389.0,14
399.0,14
411.0,14
413.0,14
420.0,14
433.0,13
438.0,13
429.0,13
420.0,13
415.0,13
414.0,13
415.0,13
419.0,12.5
420.0,12.5
424.0,12
426.0,12
429.0,12.5
437.0,12.5
438.0,12.5
431.0,12.5
431.0,12.5
430.0,12.5
434.0,12.5
438.0,12.5
440.0,12.5
442.0,11.75
445.0,11.75
443.0,11.75
444.0,12.25
449.0,12.5
450.0,12.5
446.0,12.5
445.0,12.5
443.0,12.5
445.0,12.5
448.0,12
451.0,12
457.0,12
463.0,12
466.0,12
465.0,12
468.0,12
472.0,12
469.0,12
467.0,12
466.0,12
468.0,12
469.0,12
472.0,12
476.0,12
481.0,12
484.0,12
485.0,12
487.0,12
489.0,12
484.0,11.5
483.0,11.5
484.0,11.5
487.0,11.5
493.0,11.5
494.0,11.5
497.0,11.5
501.0,11.5
499.0,11.5
499.0,11.5
503.0,11.5
504.0,11.5
502.0,11.5
504.0,11
504.0,11
504.0,11
504.0,11
508.0,11
512.0,11
517.0,11
522.0,11
523.0,11
526.0,10.75
525.0,10.75
521.0,10.75
526.0,10.75
525.0,10.75
525.0,10.75
529.0,10.75
527.0,10.75
529.0,10.75
538.0,10.75
540.0,10.75
542.0,10.75
548.0,10.75
553.0,10.75
550.0,10.75
551.0,10.75
551.0,10.75
551.0,10.75
555.6,10.75
560.2,10.75
569.5,10.75
574.1,10.75
574.1,10.75
578.8,10.75
588.0,10.75
588.0,10.75
588.0,10.75
588.0,10.75
592.6,10.75
588.0,12
592.6,12.5
597.3,13.25
601.9,13.25
611.2,13.25
615.8,13.25
615.8,13.25
620.4,13.25
620.4,13.25
620.4,13.25
620.4,13.25
625.1,13.25
634.3,13
638.9,12.75
643.6,12.75
648.2,12.75
662.1,12.75
671.4,13.25
676.0,14
685.2,14
685.2,14
680.6,13.5
685.2,13.25
685.2,12.5
685.2,12.5
694.5,12.5
699.1,12.5
708.4,12.25
740.8,12.25
750.1,12
754.7,12
764.0,12
777.8,12
782.5,12
796.4,12
787.1,12
787.1,12
787.1,12
796.4,12
805.6,12
824.1,12
824.1,8
828.8,8
838.0,8
842.7,8.5
856.6,8.5
870.4,9
856.6,9
856.6,9.5
861.2,9.5
865.8,9.5
875.1,10
893.6,10
898.2,10.75
912.1,10.75
916.7,10.75
921.4,10.75
912.1,10.75
916.7,10.75
921.4,10.75
930.6,10.75
949.2,10.75
953.8,10.75
963.0,10.5
981.6,10.5
990.8,10.5
995.5,10.5
1004.7,10.5
1009.3,10.5
1014.0,10.5
1023.2,10.5
1032.5,10.5
1037.1,10.25
1046.4,10.25
1055.6,10.25
1069.5,10.25
1088.1,10.25
1097.3,10.25
1101.9,10.25
1115.8,9.5
1125.1,8.75
1106.6,8.75
1097.3,10.25
1101.9,10.25
1106.6,10.25
1120.5,10.25
1129.7,10.25
1139.0,10.25
1166.8,10.25
1171.4,10.25
1171.4,10.25
1171.4,10.25
1171.4,10.25
1171.4,10.25
1176.0,10.25
1171.4,10.25
1176.0,10.25
1185.3,10.25
1194.5,10.25
