,IIP,CALLRATE
4-91,188,21.18
5-91,187.5,34.92
6-91,192,24.77
7-91,200.5,21.63
8-91,191,13.7
9-91,195.6,12.87
10-91,189.4,21.82
11-91,193.5,22.31
12-91,215.3,12.66
1-92,228.9,11.75
2-92,224.9,9.41
3-92,267.7,14.25
4-92,201.9,26.57
5-92,195.4,35.29
6-92,201.1,15.82
7-92,196.2,12.98
8-92,197.5,10.76
9-92,213.6,11.42
10-92,200.4,11.79
11-92,209.9,11.51
12-92,222.3,11.23
1-93,216.6,12.22
2-93,215,12.39
3-93,257.9,13.9
4-93,197.6,13.43
5-93,197.8,9.13
6-93,203.3,8.01
7-93,209.6,6.47
8-93,214.8,5.71
9-93,221,5
10-93,216.6,5.66
11-93,223.1,6.35
12-93,249.8,5.36
1-94,242,5.71
2-94,235.5,5.2
3-94,270.7,4.3
4-94,213.7,4.9
5-94,214.5,5.84
6-94,229.1,6.7
7-94,236.8,5.98
8-94,237.3,5.75
9-94,237.4,15.27
10-94,242.4,7.89
11-94,247,8.37
12-94,266.1,9.71
1-95,266.2,15.32
2-95,261,13.27
3-95,293.5,13.74
4-95,250.3,10.91
5-95,250.5,13.39
6-95,247.2,14.43
7-95,258.9,11.28
8-95,265.4,10.11
9-95,278.3,12.09
10-95,269.7,15.59
11-95,281.4,34.83
12-95,302.2,16.77
1-96,304.8,14.53
2-96,304.5,17.05
3-96,332.2,28.75
4-96,282.6,11.38
5-96,290,10.88
6-96,290.3,10.87
7-96,290,3.59
8-96,298.4,6.07
9-96,294.4,8.36
10-96,299.9,9.58
11-96,292.7,6.26
12-96,321.8,8.07
1-97,315.3,4.84
2-97,318.7,5.08
3-97,339.5,4.35
4-97,305.7,1.22
5-97,301.6,5.9
6-97,300.7,5.16
7-97,308.5,3.77
8-97,304.2,5.86
9-97,310.4,6.71
10-97,303.2,6.25
11-97,320,6.13
12-97,330.9,8.21
1-98,325.8,28.7
2-98,321.8,9.7
3-98,331.1,8.75
4-98,321.4,6.73
5-98,318.7,6.75
6-98,318.5,6.42
7-98,319.2,6.02
8-98,319.6,7.59
9-98,323.4,8.41
10-98,309.1,8.42
11-98,337.5,8
12-98,351.8,8.33
1-99,355.4,10.04
2-99,345.3,8.86
3-99,369.7,8.49
4-99,337.9,8.02
5-99,346.6,8.76
6-99,336.4,8.1
7-99,341.1,8.21
8-99,343.3,9.38
9-99,344.2,9.67
10-99,338.2,10.95
11-99,350,8.07
12-99,384.4,7.74
1-00,375.3,7.87
2-00,374.8,10.31
3-00,403,9.39
4-00,361.8,6.79
5-00,368.1,7.48
6-00,356.9,11.08
7-00,360.5,7.77
8-00,362.3,13.06
9-00,366.3,10.32
10-00,359.2,9.07
11-00,376.4,9.28
12-00,397.8,8.76
1-01,392.9,9.89
2-01,388.4,8.51
3-01,413.3,7.78
4-01,371.5,7.49
5-01,374.6,8.03
6-01,369.2,7.24
7-01,370.8,7.19
8-01,374.1,6.94
9-01,371.5,7.3
10-01,371.7,7.4
11-01,384.9,6.97
12-01,409.7,7.08
1-02,409,6.63
2-02,399.8,6.73
3-02,425.8,6.97
4-02,386.4,6.58
5-02,389.6,6.9
6-02,384.6,6.04
7-02,395.6,5.75
8-02,398.3,5.72
9-02,399.6,5.75
10-02,398.9,5.73
11-02,401.4,5.45
12-02,436.7,5.58
1-03,438.5,5.66
2-03,428.2,5.71
3-03,453,5.86
4-03,403,4.87
