HDIrank,Country,hdi,lifeExp,ExpSchool,MeanSchool,GNIpercap
1,Norway,0.954,82.3,18.1,12.6,68059
2,Switzerland,0.946,83.6,16.2,13.4,59375
3,Ireland,0.942,82.1,18.8,12.5,55660
4,Germany,0.939,81.2,17.1,14.1,46946
4,"Hong Kong, China (SAR)",0.939,84.7,16.5,12,60221
6,Australia,0.938,83.3,22.1,12.7,44097
6,Iceland,0.938,82.9,19.2,12.5,47566
8,Sweden,0.937,82.7,18.8,12.4,47955
9,Singapore,0.935,83.5,16.3,11.5,83793
10,Netherlands,0.933,82.1,18,12.2,50013
11,Denmark,0.93,80.8,19.1,12.6,48836
12,Finland,0.925,81.7,19.3,12.4,41779
13,Canada,0.922,82.3,16.1,13.3,43602
14,New Zealand,0.921,82.1,18.8,12.7,35108
15,United Kingdom,0.92,81.2,17.4,13,39507
15,United States,0.92,78.9,16.3,13.4,56140
17,Belgium,0.919,81.5,19.7,11.8,43821
18,Liechtenstein,0.917,80.5,14.7,12.5,99732
19,Japan,0.915,84.5,15.2,12.8,40799
20,Austria,0.914,81.4,16.3,12.6,46231
21,Luxembourg,0.909,82.1,14.2,12.2,65543
22,Israel,0.906,82.8,16,13,33650
22,Korea (Republic of),0.906,82.8,16.4,12.2,36757
24,Slovenia,0.902,81.2,17.4,12.3,32143
25,Spain,0.893,83.4,17.9,9.8,35041
26,Czechia,0.891,79.2,16.8,12.7,31597
26,France,0.891,82.5,15.5,11.4,40511
28,Malta,0.885,82.4,15.9,11.3,34795
29,Italy,0.883,83.4,16.2,10.2,36141
30,Estonia,0.882,78.6,16.1,13,30379
31,Cyprus,0.873,80.8,14.7,12.1,33100
32,Greece,0.872,82.1,17.3,10.5,24909
32,Poland,0.872,78.5,16.4,12.3,27626
34,Lithuania,0.869,75.7,16.5,13,29775
35,United Arab Emirates,0.866,77.8,13.6,11,66912
36,Andorra,0.857,81.8,13.3,10.2,48641
36,Saudi Arabia,0.857,75,17,9.7,49338
36,Slovakia,0.857,77.4,14.5,12.6,30672
39,Latvia,0.854,75.2,16,12.8,26301
40,Portugal,0.85,81.9,16.3,9.2,27935
41,Qatar,0.848,80.1,12.2,9.7,"1,10,489"
42,Chile,0.847,80,16.5,10.4,21972
43,Brunei Darussalam,0.845,75.7,14.4,9.1,76389
43,Hungary,0.845,76.7,15.1,11.9,27144
45,Bahrain,0.838,77.2,15.3,9.4,40399
46,Croatia,0.837,78.3,15,11.4,23061
47,Oman,0.834,77.6,14.7,9.7,37039
48,Argentina,0.83,76.5,17.6,10.6,17611
49,Russian Federation,0.824,72.4,15.5,12,25036
50,Belarus,0.817,74.6,15.4,12.3,17039
50,Kazakhstan,0.817,73.2,15.3,11.8,22168
52,Bulgaria,0.816,74.9,14.8,11.8,19646
52,Montenegro,0.816,76.8,15,11.4,17511
52,Romania,0.816,75.9,14.3,11,23906
